Alabama,Montgomery,32.377716,-86.300568,AL
Alaska,Juneau,58.301598,-134.420212,AK
Arizona,Phoenix,33.448143,-112.096962,AZ
Arkansas,Little Rock,34.746613,-92.288986,AR
California,Sacramento,38.576668,-121.493629,CA
Colorado,Denver,39.739227,-104.984856,CO
Connecticut,Hartford,41.764046,-72.682198,CT
Delaware,Dover,39.157307,-75.519722,DE
District of Columbia,Washington,38.9071923,-77.0368707,DC
Florida,Tallahassee,30.438118,-84.281296,FL
Georgia,Atlanta,33.749027,-84.388229,GA
Hawaii,Honolulu,21.307442,-157.857376,HI
Idaho,Boise,43.617775,-116.199722,ID
Illinois,Springfield,39.798363,-89.654961,IL
Indiana,Indianapolis,39.768623,-86.162643,IN
Iowa,Des Moines,41.591087,-93.603729,IA
Kansas,Topeka,39.048191,-95.677956,KS
Kentucky,Frankfort,38.186722,-84.875374,KY
Louisiana,Baton Rouge,30.457069,-91.187393,LA
Maine,Augusta,44.307167,-69.781693,ME
Maryland,Annapolis,38.978764,-76.490936,MD
Massachusetts,Boston,42.358162,-71.063698,MA
Michigan,Lansing,42.733635,-84.555328,MI
Minnesota,St. Paul,44.955097,-93.102211,MN
Mississippi,Jackson,32.303848,-90.182106,MS
Missouri,Jefferson City,38.579201,-92.172935,MO
Montana,Helena,46.585709,-112.018417,MT
Nebraska,Lincoln,40.808075,-96.699654,NE
Nevada,Carson City,39.163914,-119.766121,NV
New Hampshire,Concord,43.206898,-71.537994,NH
New Jersey,Trenton,40.220596,-74.769913,NJ
New Mexico,Santa Fe,35.68224,-105.939728,NM
New York,Albany,42.652843,-73.757874,NY
North Carolina,Raleigh,35.78043,-78.639099,NC
North Dakota,Bismarck,46.82085,-100.783318,ND
Ohio,Columbus,39.961346,-82.999069,OH
Oklahoma,Oklahoma City,35.492207,-97.503342,OK
Oregon,Salem,44.938461,-123.030403,OR
Pennsylvania,Harrisburg,40.264378,-76.883598,PA
Rhode Island,Providence,41.830914,-71.414963,RI
South Carolina,Columbia,34.000343,-81.033211,SC
South Dakota,Pierre,44.367031,-100.346405,SD
Tennessee,Nashville,36.16581,-86.784241,TN
Texas,Austin,30.27467,-97.740349,TX
Utah,Salt Lake City,40.777477,-111.888237,UT
Vermont,Montpelier,44.262436,-72.580536,VT
Virginia,Richmond,37.538857,-77.43364,VA
Washington,Olympia,47.035805,-122.905014,WA
West Virginia,Charleston,38.336246,-81.612328,WV
Wisconsin,Madison,43.074684,-89.384445,WI
Wyoming,Cheyenne,41.140259,-104.820236,WY
